PLAYER_NAME,TeamWinning,TeamWins,TeamTotal
Manny Harris,0.403669725,88,218
Jordan Clarkson,0.399390244,131,328
Shawne Williams,0.395437262,104,263
JaKarr Sampson,0.393442623,120,305
Elfrid Payton,0.391304348,117,299
Ryan Kelly,0.385416667,74,192
D'Angelo Russell,0.373873874,83,222
Julius Randle,0.366666667,99,270
Zach LaVine,0.364341085,94,258
Devin Booker,0.342592593,74,216
Shaquille Harrison,0.308056872,65,211
